query;type;all_targets_exact;target_recall;mrr;time_sec;targets;predictions
где ссылка Закупки;single;True;1.0;1.0;0.7998;"[{""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""target_pages"": [1, 3, 5, 7, 10, 12, 14, 24, 28, 32, 33], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 10, ""ui_type"": ""sidebar_item"", ""score"": 1.80065199136734, ""final_score"": 5.55130398273468, ""siamese_score"": 0.4006519913673401, ""eval_score"": 16.55130398273468}, {""text"": ""Закупки."", ""normalized_text"": ""закупки"", ""page"": 10, ""ui_type"": ""sidebar_item"", ""score"": 0.9516880452632903, ""final_score"": 3.853376090526581, ""siamese_score"": -0.4483119547367096, ""eval_score"": 14.85337609052658}, {""text"": ""Закупки."", ""normalized_text"": ""закупки"", ""page"": 10, ""ui_type"": ""sidebar_item"", ""score"": 0.8246805906295775, ""final_score"": 3.5993611812591553, ""siamese_score"": -0.5753194093704224, ""eval_score"": 14.599361181259155}]"
где находится Кадры;single;True;1.0;1.0;0.2436;"[{""text"": ""Кадры"", ""normalized_text"": ""кадры"", ""target_pages"": [1, 3, 5, 7, 9, 10, 12, 14, 24, 32, 33], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Кадры"", ""normalized_text"": ""кадры"", ""page"": 9, ""ui_type"": ""hyperlink"", ""score"": 1.6558830082416534, ""final_score"": 5.261766016483307, ""siamese_score"": 0.25588300824165344, ""eval_score"": 16.261766016483307}]"
где находится Дата;single;False;0.0;0.0;0.2533;"[{""text"": ""Дата"", ""normalized_text"": ""дата"", ""target_pages"": [15, 17, 18, 22, 24, 26, 33], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Дата поставки:"", ""normalized_text"": ""дата поставки"", ""page"": 25, ""ui_type"": ""hyperlink"", ""score"": 0.45932912826538086, ""final_score"": 2.468658256530762, ""siamese_score"": -0.5406708717346191, ""eval_score"": 7.468658256530762}]"
где находится ООЗК-01883;single;True;1.0;1.0;0.2613;"[{""text"": ""ООЗК-01883"", ""normalized_text"": ""оозк-01883"", ""target_pages"": [38, 40], ""ui_type"": ""hyperlink""}]";"[{""text"": ""ООЗК-01883"", ""normalized_text"": ""оозк-01883"", ""page"": 40, ""ui_type"": ""hyperlink"", ""score"": 1.396896594762802, ""final_score"": 4.743793189525604, ""siamese_score"": -0.003103405237197876, ""eval_score"": 15.743793189525604}]"
покажи Отчеты;single;False;0.0;0.0;0.2368;"[{""text"": ""Отчеты"", ""normalized_text"": ""отчеты"", ""target_pages"": [9, 11, 33, 35, 36, 37, 38, 39], ""ui_type"": ""button""}]";"[{""text"": ""Отчеты по закупкам"", ""normalized_text"": ""отчеты по закупкам"", ""page"": 12, ""ui_type"": ""button"", ""score"": 0.31911367177963257, ""final_score"": 2.188227343559265, ""siamese_score"": -0.6808863282203674, ""eval_score"": 7.188227343559265}]"
покажи Продажи;single;True;1.0;1.0;0.2623;"[{""text"": ""Продажи"", ""normalized_text"": ""продажи"", ""target_pages"": [1, 3, 5, 7, 9, 10, 12, 14, 24, 28, 33], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""Продажи"", ""normalized_text"": ""продажи"", ""page"": 28, ""ui_type"": ""sidebar_item"", ""score"": 1.4004400014877318, ""final_score"": 4.750880002975464, ""siamese_score"": 0.0004400014877319336, ""eval_score"": 15.750880002975464}]"
найди элемент 12,000;single;True;1.0;1.0;0.6302;"[{""text"": ""12,000"", ""normalized_text"": ""12 000"", ""target_pages"": [17, 18, 28], ""ui_type"": ""hyperlink""}]";"[{""text"": ""12 000"", ""normalized_text"": ""12 000"", ""page"": 17, ""ui_type"": ""hyperlink"", ""score"": 1.3494283646345138, ""final_score"": 4.648856729269028, ""siamese_score"": -0.050571635365486145, ""eval_score"": 15.648856729269028}, {""text"": ""12 000"", ""normalized_text"": ""12 000"", ""page"": 17, ""ui_type"": ""hyperlink"", ""score"": 1.3428513199090957, ""final_score"": 4.6357026398181915, ""siamese_score"": -0.057148680090904236, ""eval_score"": 15.635702639818192}, {""text"": ""12 000"", ""normalized_text"": ""12 000"", ""page"": 17, ""ui_type"": ""hyperlink"", ""score"": 1.0794438064098357, ""final_score"": 4.108887612819672, ""siamese_score"": -0.3205561935901642, ""eval_score"": 15.108887612819672}]"
найди элемент Организация;single;True;1.0;1.0;0.6601;"[{""text"": ""Организация"", ""normalized_text"": ""организация"", ""target_pages"": [33, 34, 35, 36, 37, 38, 39, 40], ""ui_type"": ""hyperlink""}]";"[{""text"": ""~Организация"", ""normalized_text"": ""организация"", ""page"": 33, ""ui_type"": ""hyperlink"", ""score"": 1.087688648700714, ""final_score"": 4.125377297401428, ""siamese_score"": -0.3123113512992859, ""eval_score"": 15.125377297401428}, {""text"": ""~Организация"", ""normalized_text"": ""организация"", ""page"": 33, ""ui_type"": ""hyperlink"", ""score"": 1.0813919842243194, ""final_score"": 4.112783968448639, ""siamese_score"": -0.31860801577568054, ""eval_score"": 15.112783968448639}, {""text"": ""~Организация"", ""normalized_text"": ""организация"", ""page"": 33, ""ui_type"": ""hyperlink"", ""score"": 1.0711337566375732, ""final_score"": 4.0922675132751465, ""siamese_score"": -0.32886624336242676, ""eval_score"": 15.092267513275146}]"
где находится Чиспо Химический;single;True;1.0;1.0;0.2585;"[{""text"": ""Чиспо Химический"", ""normalized_text"": ""чиспо химический"", ""target_pages"": [4], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Чиспо Химический"", ""normalized_text"": ""чиспо химический"", ""page"": 4, ""ui_type"": ""hyperlink"", ""score"": 1.578773209452629, ""final_score"": 5.107546418905258, ""siamese_score"": 0.1787732094526291, ""eval_score"": 16.107546418905258}]"
найди элемент ГОСТ;single;False;0.0;0.0;0.6299;"[{""text"": ""ГОСТ"", ""normalized_text"": ""гост"", ""target_pages"": [8, 15, 16, 17, 19, 20, 26], ""ui_type"": ""hyperlink""}]";"[{""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 1.4623022079467773, ""final_score"": 3.474604415893555, ""siamese_score"": 0.46230220794677734, ""eval_score"": 8.474604415893555}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 1.328535795211792, ""final_score"": 3.2070715904235843, ""siamese_score"": 0.328535795211792, ""eval_score"": 8.207071590423585}, {""text"": ""ГОСТ заполнястся реквизитами:"", ""normalized_text"": ""госты заполнястся реквизитами"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 0.6668617725372314, ""final_score"": 2.883723545074463, ""siamese_score"": -0.33313822746276855, ""eval_score"": 7.883723545074464}]"
где находятся ГОСТы и Заявки на контроль;multi;True;1.0;0.75;0.4472;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 14, ""ui_type"": ""hyperlink"", ""score"": 1.5241360455751418, ""final_score"": 4.998272091150284, ""siamese_score"": 0.1241360455751419, ""eval_score"": 15.998272091150284}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 14, ""ui_type"": ""hyperlink"", ""score"": 1.4070448331534862, ""final_score"": 4.7640896663069725, ""siamese_score"": 0.007044833153486252, ""eval_score"": 9.764089666306973}]"
найди элементы ГОСТы и Входной контроль;multi;True;1.0;0.75;0.4488;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Входной контроль"", ""normalized_text"": ""входной контроль"", ""target_pages"": [1, 3, 5, 7, 24], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""Входной контроль"", ""normalized_text"": ""входной контроль"", ""page"": 7, ""ui_type"": ""sidebar_item"", ""score"": 1.5573513150215148, ""final_score"": 5.06470263004303, ""siamese_score"": 0.1573513150215149, ""eval_score"": 16.06470263004303}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 1.3624807313084601, ""final_score"": 4.6749614626169205, ""siamese_score"": -0.037519268691539764, ""eval_score"": 9.67496146261692}]"
найди элементы ГОСТы и Группы прочности;multi;True;1.0;0.6666666666666666;0.6513;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Группы прочности"", ""normalized_text"": ""группы прочности"", ""target_pages"": [1, 3, 5, 14], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Группы прочности."", ""normalized_text"": ""группы прочности"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5324600428342818, ""final_score"": 5.014920085668564, ""siamese_score"": 0.13246004283428192, ""eval_score"": 16.014920085668564}, {""text"": ""Группы прочности."", ""normalized_text"": ""группы прочности"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5289850175380706, ""final_score"": 5.007970035076141, ""siamese_score"": 0.12898501753807068, ""eval_score"": 16.00797003507614}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.412913230806589, ""final_score"": 4.775826461613178, ""siamese_score"": 0.012913230806589127, ""eval_score"": 9.775826461613178}]"
найди элементы ГОСТы и Показатели контроля;multi;True;1.0;0.6;1.0917;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Показатели контроля"", ""normalized_text"": ""показатели контроля"", ""target_pages"": [1, 5, 7, 24], ""ui_type"": ""button""}]";"[{""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.475660727918148, ""final_score"": 4.901321455836296, ""siamese_score"": 0.07566072791814804, ""eval_score"": 15.901321455836296}, {""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.539340505003929, ""final_score"": 2.5286810100078583, ""siamese_score"": 0.13934050500392914, ""eval_score"": 13.528681010007858}, {""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.5042368710041045, ""final_score"": 2.4584737420082092, ""siamese_score"": 0.10423687100410461, ""eval_score"": 13.45847374200821}, {""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.4909173861145972, ""final_score"": 2.4318347722291946, ""siamese_score"": 0.09091738611459732, ""eval_score"": 13.431834772229195}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 1.3624807313084601, ""final_score"": 4.6749614626169205, ""siamese_score"": -0.037519268691539764, ""eval_score"": 9.67496146261692}]"
найди элементы ГОСТы и Акты входного контроля;multi;True;1.0;0.75;0.4680;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Акты входного контроля"", ""normalized_text"": ""акты входного контроля"", ""target_pages"": [1, 7, 24], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Акты входного контроля"", ""normalized_text"": ""акты входного контроля"", ""page"": 24, ""ui_type"": ""hyperlink"", ""score"": 1.6610274255275725, ""final_score"": 5.272054851055145, ""siamese_score"": 0.26102742552757263, ""eval_score"": 16.272054851055145}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 24, ""ui_type"": ""hyperlink"", ""score"": 1.4108453519642352, ""final_score"": 4.771690703928471, ""siamese_score"": 0.010845351964235306, ""eval_score"": 9.77169070392847}]"
покажи ГОСТы и Виды контроля;multi;True;1.0;0.75;0.4427;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Виды контроля"", ""normalized_text"": ""виды контроля"", ""target_pages"": [1, 18], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Виды контроля"", ""normalized_text"": ""виды контроля"", ""page"": 1, ""ui_type"": ""hyperlink"", ""score"": 1.4563365221023559, ""final_score"": 4.862673044204712, ""siamese_score"": 0.05633652210235596, ""eval_score"": 15.862673044204712}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 1, ""ui_type"": ""hyperlink"", ""score"": 1.4120420269668101, ""final_score"": 4.7740840539336205, ""siamese_score"": 0.012042026966810226, ""eval_score"": 9.77408405393362}]"
где находятся ГОСТы и Закупки;multi;True;1.0;0.625;0.8361;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""target_pages"": [1, 3, 5, 7, 10, 12, 14, 24, 28, 32, 33], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 7, ""ui_type"": ""sidebar_item"", ""score"": 1.2824000433087348, ""final_score"": 4.51480008661747, ""siamese_score"": -0.1175999566912651, ""eval_score"": 15.51480008661747}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 7, ""ui_type"": ""sidebar_item"", ""score"": 0.9033467411994933, ""final_score"": 3.756693482398987, ""siamese_score"": -0.4966532588005066, ""eval_score"": 14.756693482398987}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 7, ""ui_type"": ""sidebar_item"", ""score"": 0.7082818984985351, ""final_score"": 3.3665637969970703, ""siamese_score"": -0.6917181015014648, ""eval_score"": 14.36656379699707}, {""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 1.3624807313084601, ""final_score"": 4.6749614626169205, ""siamese_score"": -0.037519268691539764, ""eval_score"": 9.67496146261692}]"
покажи Заявки на контроль и Входной контроль;multi;False;0.5;0.5;0.4700;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Входной контроль"", ""normalized_text"": ""входной контроль"", ""target_pages"": [1, 3, 5, 7, 24], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 14, ""ui_type"": ""hyperlink"", ""score"": 1.5241360455751418, ""final_score"": 4.998272091150284, ""siamese_score"": 0.1241360455751419, ""eval_score"": 15.998272091150284}, {""text"": ""АРМ Входной контроль; Создать:"", ""normalized_text"": ""арм входной контроль создать"", ""page"": 14, ""ui_type"": ""button"", ""score"": 1.2233849465847015, ""final_score"": 3.9967698931694033, ""siamese_score"": 0.22338494658470154, ""eval_score"": 8.996769893169404}]"
найди элементы Заявки на контроль и Группы прочности;multi;True;1.0;0.75;0.6926;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Группы прочности"", ""normalized_text"": ""группы прочности"", ""target_pages"": [1, 3, 5, 14], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Группы прочности."", ""normalized_text"": ""группы прочности"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5324600428342818, ""final_score"": 5.014920085668564, ""siamese_score"": 0.13246004283428192, ""eval_score"": 16.014920085668564}, {""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5319137513637542, ""final_score"": 5.0138275027275085, ""siamese_score"": 0.13191375136375427, ""eval_score"": 16.01382750272751}, {""text"": ""Группы прочности."", ""normalized_text"": ""группы прочности"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5289850175380706, ""final_score"": 5.007970035076141, ""siamese_score"": 0.12898501753807068, ""eval_score"": 16.00797003507614}]"
покажи Заявки на контроль и Показатели контроля;multi;True;1.0;0.625;1.0002;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Показатели контроля"", ""normalized_text"": ""показатели контроля"", ""target_pages"": [1, 5, 7, 24], ""ui_type"": ""button""}]";"[{""text"": ""[Показатели контроля]"", ""normalized_text"": ""показатели контроля"", ""page"": 1, ""ui_type"": ""button"", ""score"": 1.6117805182933806, ""final_score"": 5.1735610365867615, ""siamese_score"": 0.21178051829338074, ""eval_score"": 16.17356103658676}, {""text"": ""[Показатели контроля]"", ""normalized_text"": ""показатели контроля"", ""page"": 1, ""ui_type"": ""button"", ""score"": 1.569202074408531, ""final_score"": 5.088404148817062, ""siamese_score"": 0.1692020744085312, ""eval_score"": 16.088404148817062}, {""text"": ""[Показатели контроля]"", ""normalized_text"": ""показатели контроля"", ""page"": 1, ""ui_type"": ""button"", ""score"": 1.547159531712532, ""final_score"": 5.044319063425064, ""siamese_score"": 0.14715953171253204, ""eval_score"": 16.044319063425064}, {""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 1, ""ui_type"": ""hyperlink"", ""score"": 1.5222718358039855, ""final_score"": 4.994543671607971, ""siamese_score"": 0.1222718358039856, ""eval_score"": 15.994543671607971}, {""text"": ""[Показатели контроля]"", ""normalized_text"": ""показатели контроля"", ""page"": 1, ""ui_type"": ""button"", ""score"": 1.545201027393341, ""final_score"": 2.540402054786682, ""siamese_score"": 0.14520102739334106, ""eval_score"": 13.540402054786682}]"
где находятся Заявки на контроль и Акты входного контроля;multi;True;1.0;0.75;0.4260;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Акты входного контроля"", ""normalized_text"": ""акты входного контроля"", ""target_pages"": [1, 7, 24], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Акты входного контроля"", ""normalized_text"": ""акты входного контроля"", ""page"": 24, ""ui_type"": ""hyperlink"", ""score"": 1.6610274255275725, ""final_score"": 5.272054851055145, ""siamese_score"": 0.26102742552757263, ""eval_score"": 16.272054851055145}, {""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 24, ""ui_type"": ""hyperlink"", ""score"": 1.5376883387565612, ""final_score"": 5.025376677513123, ""siamese_score"": 0.13768833875656128, ""eval_score"": 16.025376677513123}]"
где находятся Заявки на контроль и Виды контроля;multi;True;1.0;0.75;0.3708;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Виды контроля"", ""normalized_text"": ""виды контроля"", ""target_pages"": [1, 18], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 1, ""ui_type"": ""hyperlink"", ""score"": 1.5222718358039855, ""final_score"": 4.994543671607971, ""siamese_score"": 0.1222718358039856, ""eval_score"": 15.994543671607971}, {""text"": ""Виды контроля"", ""normalized_text"": ""виды контроля"", ""page"": 1, ""ui_type"": ""hyperlink"", ""score"": 1.4563365221023559, ""final_score"": 4.862673044204712, ""siamese_score"": 0.05633652210235596, ""eval_score"": 15.862673044204712}]"
найди элементы Заявки на контроль и Закупки;multi;True;1.0;0.75;0.7748;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""target_pages"": [1, 3, 5, 7, 10, 12, 14, 24, 28, 32, 33], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 14, ""ui_type"": ""hyperlink"", ""score"": 1.5241360455751418, ""final_score"": 4.998272091150284, ""siamese_score"": 0.1241360455751419, ""eval_score"": 15.998272091150284}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 14, ""ui_type"": ""sidebar_item"", ""score"": 1.1967024147510528, ""final_score"": 4.343404829502106, ""siamese_score"": -0.20329758524894714, ""eval_score"": 15.343404829502106}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 14, ""ui_type"": ""sidebar_item"", ""score"": 0.9313899815082549, ""final_score"": 3.81277996301651, ""siamese_score"": -0.468610018491745, ""eval_score"": 14.81277996301651}, {""text"": ""Закупки"", ""normalized_text"": ""закупки"", ""page"": 14, ""ui_type"": ""sidebar_item"", ""score"": 0.7341822028160094, ""final_score"": 3.418364405632019, ""siamese_score"": -0.6658177971839905, ""eval_score"": 14.418364405632019}]"
